id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.03511686464821146,0.15720166994709533,-0.04313444609296585,0.45833333333333337,-0.25,0.7916666666666667
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.0794576509417624,0.029607779396905655,0.15165395447621127,-0.7666666666666666,-1.4666666666666666,-0.30000000000000004
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.2506093738556167,0.3170102433726125,0.14750720069381537,-0.125,-0.3333333333333333,0.25
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.2865577562927326,0.2893821810345307,0.33159302033849225,-0.16666666666666666,-1.5416666666666665,-0.6250000000000001
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.21474458929493018,0.29946397267938807,0.12497168360789282,-0.03333333333333331,-0.3,-0.4000000000000001
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.35193656307390364,0.4294841321212244,0.11577146898352517,-0.375,-0.125,0.5
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.3452211472322846,0.43328640959056886,0.219961247922324,-0.1666666666666666,-0.4583333333333333,-0.625
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.44298547905695473,0.47546457777563184,0.32502117825811183,-1.5,-1.2083333333333333,-0.5
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.0401316527487341,0.051673086793819725,-0.02833776348806835,0.7999999999999999,0.9666666666666668,0.4666666666666667
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.1671145435982317,0.22494219653034922,0.1616450289797494,0.5,0.6666666666666666,0.2
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.14071406593410002,0.15314792573300057,0.18164460037004268,0.4333333333333334,0.23333333333333323,0.03333333333333331
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.32813902393837563,0.4081867752045617,0.14365673294642015,-0.5666666666666667,-0.3666666666666667,0.26666666666666666
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.17691258830333942,0.17408449284856836,0.13730302772130504,0.3333333333333333,0.4166666666666667,-0.5833333333333334
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.273454893217788,0.26735472673646865,0.263422656546282,-0.5416666666666665,-0.04166666666666674,-1.0
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.4635418379334813,0.5570275605296733,0.07142738055058344,-0.5666666666666667,-0.36666666666666664,-0.06666666666666672
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.3377825031104575,0.4015286247811136,0.18676910591285684,-0.08333333333333333,0.0,0.16666666666666669
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.2538670374628328,0.29422816245273664,0.2090629434850229,-0.1,0.26666666666666666,-0.5
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.26569745367553604,0.3270622179836792,0.19233382364821927,-0.16666666666666666,-0.06666666666666667,0.3666666666666667
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.27939559709662215,0.2974282788860643,0.2834758247699874,-0.06666666666666668,0.0,0.0
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.09778840320641961,0.149432459468015,0.002166736118705134,0.6666666666666667,0.33333333333333337,0.8
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.2935726817992067,0.31303509389270756,0.20268773463048562,-0.41666666666666663,0.25,-0.16666666666666666
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,-0.12047021766648233,-0.1738976061836956,0.024995186128481815,-0.16666666666666663,-1.5,-0.3333333333333334
