id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.004031266518003603,0.003609999795381611,0.009219754314392321,0.003197843787409798,0.0033441570212470978,0.002965029059219083
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.004384961619582299,0.0037277879461127135,0.015188241053949825,0.0038995966981487727,0.0040662414344108215,0.003640822628825135
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.0042332613909181445,0.003727088411368444,0.011647525098573893,0.004477834881154161,0.004484167120838435,0.0043063538860528576
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.003876788238042689,0.0034766503628649455,0.009440035575961878,0.003955487896519216,0.004033974441864696,0.0037756846425900255
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.0033628198576505556,0.0030577906744675017,0.011595342015437082,0.005537384578407254,0.005043779327124426,0.0069446203398283515
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.0035115734084268505,0.0031695222562830297,0.0103585392360011,0.003992149172740233,0.0038313153872526536,0.004189748020990141
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.004666646195574611,0.004075629393487953,0.010122124966249296,0.004600033871502643,0.005050496192561165,0.004054479527721823
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.0031172084942977583,0.0027855393505732346,0.007286543578029644,0.003925831742996578,0.00361254302946687,0.004746636930378121
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.004848002334051551,0.004240815159506836,0.010803179267606641,0.00326077551160363,0.0032050172780807218,0.003336861818062634
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.0034396218017943574,0.0032067017958266808,0.007374554156236373,0.004974784320803555,0.00466812057606853,0.005624277079376682
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.00340487923200914,0.0031408559209191275,0.006999867159302182,0.005134609108821985,0.005226658741081772,0.0049452303440656355
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.004637702048544473,0.004182910432626935,0.010492669127678314,0.0031849641895520873,0.0031994707698969576,0.0031392630941150237
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.004562322350530267,0.0040426879951506395,0.012993940734736658,0.005005093332496704,0.004962208127242432,0.004984160139333197
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.003784891415944127,0.0034060237175620647,0.008393691071066894,0.004296053609260168,0.004598292879688351,0.003930214983903407
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.0037743164410261893,0.0033869776382837403,0.010162885419492512,0.0035527318701239095,0.003365892274366606,0.0038822538624368793
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.0030576860451659964,0.0028244393580679444,0.007285441358442014,0.005554515011420981,0.00557733501334182,0.005270242576594605
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.0031362501458939377,0.002877482156021244,0.006762146640815818,0.0035693752830924567,0.003759528458521511,0.0031798029146712457
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.0028553122395683973,0.00265126161272248,0.006779378736826131,0.0050931078592879545,0.005113941481126475,0.004911745378592554
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.0038222314355609165,0.0033919417393266267,0.009065027793226745,0.0036043672140973182,0.003497625539151942,0.0038587899197185483
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.0027794279205794123,0.002584580507498077,0.00786029183944115,0.002961938402846134,0.0030845890298448224,0.002782065826362058
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.003638966615319124,0.0034486707307701315,0.006914964365486344,0.003738588307365839,0.003607454454181976,0.003831064808238545
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.003988294362450756,0.0036248461042198334,0.012024472041771903,0.0054213996319660614,0.005486368490449668,0.005188060146628307
