id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/20,nvc_segment_1/20,nvc_segment_2/20,nvc_segment_3/20,nvc_segment_4/20,nvc_segment_5/20,nvc_segment_6/20,nvc_segment_7/20,nvc_segment_8/20,nvc_segment_9/20,nvc_segment_10/20,nvc_segment_11/20,nvc_segment_12/20,nvc_segment_13/20,nvc_segment_14/20,nvc_segment_15/20,nvc_segment_16/20,nvc_segment_17/20,nvc_segment_18/20,nvc_segment_19/20,lag_whole,lag_segment_0/20,lag_segment_1/20,lag_segment_2/20,lag_segment_3/20,lag_segment_4/20,lag_segment_5/20,lag_segment_6/20,lag_segment_7/20,lag_segment_8/20,lag_segment_9/20,lag_segment_10/20,lag_segment_11/20,lag_segment_12/20,lag_segment_13/20,lag_segment_14/20,lag_segment_15/20,lag_segment_16/20,lag_segment_17/20,lag_segment_18/20,lag_segment_19/20,nvc_segment_0/2,nvc_segment_1/2,lag_segment_0/2,lag_segment_1/2
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.4339130920476677,0.3368084051555999,0.2592949556222826,0.2220210108603745,0.3100335354152169,0.4973368286357881,0.3538155787879951,0.3317195720249212,0.2868041267190051,0.2386259748352013,0.2580657128755801,0.245051414044916,0.1982738941429249,0.2122699034520162,0.2179740844845837,0.128314545217738,0.1131945748309469,0.0291739200299256,0.0843213022350429,0.0328236227180904,0.0313762194718347,-0.62652922957801,-0.217063492063492,1.1231707317073172,1.9607336430507163,0.3569299264421215,0.1366531165311653,-0.8657375145180023,-0.5861014324428958,-0.982288037166086,-1.5730836236933798,-0.4247580332946187,-1.1958284939992256,-0.4254258614014712,-0.5037262872628726,-0.3207413859852885,-0.5703542392566783,-0.1264421215640727,-0.3061556329849012,-0.0243708865660085,0.1693960511033682,0.8955671699574138,0.5434199910558409,0.1637162397540693,-0.4228706929926442,-0.14012775842044134
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.2757405036312769,0.5044544928834929,0.1648317399958039,0.0770608131322541,0.127826762800038,0.1853339272956936,0.0383480041689668,0.0809145984540083,0.0540936736508615,0.00377782267585,0.0202067015458211,0.0142716161525815,0.0077738249187325,0.0784145984037976,0.0655469180761294,0.0568894887735768,0.0688632635657482,0.0448775806570595,0.0416353275987132,0.0848575475187561,0.0609384726164109,-0.6126446529696605,-0.2459351261638351,-0.0761633792028014,0.0669621280515051,0.1122479687029792,0.4072533946142131,0.2644470586089605,0.0357015840013131,0.0870699167418998,0.0881642181672275,0.1902898986859263,0.1171723251169534,0.380287983658432,0.1399429139423121,0.0073409387282393,0.2490903619401964,0.2137261875450259,0.4099526714633546,0.3319563373731294,0.4529860750143627,0.3878477826717369,0.31414713073626416,0.08137359873357268,-0.5197749386735242,-0.027886447988765183
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.4034481291521109,0.555568821767117,0.4273511042282337,0.4415526559245809,0.2984854872125341,0.3105037002004849,0.3026561657194445,0.2716425317879515,0.3274129630413932,0.2234119939805051,0.2500236275951675,0.2124839064782814,0.199603535556438,0.1712362151714004,0.1766719118355487,0.1856625177439742,0.1330406643690425,0.1187609334603867,0.0882686656426165,0.0196279308586223,0.0273610169109474,-0.32051967970324396,-0.4944536586235799,0.0253330479910117,0.2420505412587162,0.0487222014160112,0.1941932837551049,-0.5567117864212724,0.122982540616696,0.0121894673015533,0.160727979598024,-0.1018315410268756,0.0764182405079093,-0.0185294170099691,0.1043550371836713,-0.0306832165213204,-0.1949690581919997,0.0095411338790505,-0.0297558539760669,0.3549123464055784,0.3004119629768337,0.3549034294580279,0.47723723903573023,0.16696009324125016,-0.17623455138836872,0.08640522176448559
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.3121844328883,0.5619926413495394,0.4444123220598932,0.1272857917890507,-0.0489491346682697,-0.1620206525235988,-0.2455271109140868,-0.1495783335972541,-0.1470835409901646,-0.1403676293150348,-0.0420450559000402,0.0415630831079754,0.0379262983044049,0.0956965306540247,0.0091658712215154,0.0159147578642953,0.055022547324054,0.0224375106656843,-0.0124897061251256,0.0254608292610192,0.0386001138904374,0.052805902205478386,-0.4350678910603563,0.0751510870418334,0.037807079507103,-0.3920100463071972,0.5381759673495016,-0.1225492504512989,-0.6801506946079586,-0.4060277843183423,-0.4940036103916491,-0.0100933992622243,0.3876383329408995,0.5319362687387175,0.0270151479475708,-0.1257593595479161,0.0866650969311671,0.4819715877874578,0.5590926928812495,0.2835334746095282,-0.2170551762028098,-0.0625382623028019,0.4048260694613692,0.03090044624207708,-0.04647201946472019,-0.0921905658896476
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.3288657267241563,0.3945295990266298,0.2174779825443059,0.301976969383945,0.0871441466753361,0.1684654350316241,0.2454255094762746,0.0431921564926522,0.1691751860929446,0.1249628018463712,0.0981749848690203,0.0976745160315465,0.1189942565793251,0.0802247588974575,0.0616166320442903,0.0640308655939166,0.055342864255088,0.0479120749791491,0.0356992030152182,0.0711137282707533,0.0539796340157098,-0.3416745312246785,0.7008226804320264,1.2189111638592578,0.2108654826932059,0.8918980753281665,-0.0074641805130551,-0.926902508079046,1.3108359310206767,-0.7775521682348119,-0.6066386402417516,0.0378452064327318,-1.0151571481682728,-1.669841088264173,-0.62138587811365,-0.319196194507202,-0.5483551157758269,-0.1062048979514017,-0.1747075814339234,-0.2250979494952383,-0.2595208815931211,-0.0412960791603511,0.42768625829206813,0.023020988213720856,-0.37719373504542375,0.4335135032077864
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.24668849292365777,0.4228726862413484,0.4201207287238256,0.2306099788320274,0.1556021560414168,0.1315563461413666,0.1981978323865185,0.1035165921674121,0.0679191319180353,0.1521560905226485,-0.0297385755702388,-0.0899754633430914,0.1791727497291582,-0.0434307426329809,-0.0008589449978046,0.0116220704335188,-0.0084164806011582,0.1031320283108788,0.0535878989425017,0.0623170108192941,0.056529193460924,0.09190006505265749,0.2815373525326582,-0.0211421136839144,0.3961267296095082,0.6450937988993793,0.3182129859169787,-0.1086994743042003,0.6913515129138316,0.0970515322538108,-0.1917998487965258,0.3751780157181286,0.9245652900117798,0.0948450164389823,0.7535031735147775,1.0575364382790935,0.4988308103451307,0.5130632768957574,0.2312182428749758,0.0573957838845227,-0.0277704520280605,-0.0517344445030504,0.33638453460858214,0.03126160241897573,0.18591873692353675,0.332594897761837
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.24038077299137428,0.4797920754733099,0.0624949743516648,-0.1912716350785376,0.0459978996792452,-0.0867746376987873,0.0464023026687364,0.1609642238629778,-0.0142683629631131,0.0302222244476694,-0.0824974976538502,0.0420794440086823,0.1870272455820482,0.1346790747669609,0.0655970912936124,0.197555295273577,0.1527685380802588,0.168100666197338,0.1546594343479536,0.0912756381906686,0.1058818482549657,0.2074207609105096,-0.3415397585606916,-0.6164056754381245,-0.4360616333925272,-0.1505856607293404,0.2913863925810328,-0.8525354714882779,-0.2855835979120701,-0.114262139231197,-0.0131661554467345,-0.366993129921613,-0.2393944285996161,-0.2360311395720102,-0.03017991354105,-0.6201635903783027,0.0948357818077454,-0.237071516977883,0.0330588889486806,-0.4496044772103535,-0.2333315395791853,-0.1173563651365943,0.23008779963611645,0.1645787964718736,0.12384078638181854,0.008610019910671049
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.3222772410408616,0.3083639936418172,0.3662059730308498,0.3006903040845939,0.1589519554446193,0.1873191097179545,0.2712112930798814,0.0919390757923804,0.1246420541580737,0.1277046743527576,0.1383167231365822,0.1709692086850391,0.1692028945808753,0.119743975136124,0.1651158690978488,0.1296314726908397,0.0786828983078569,0.0736820581710313,0.0478170265857469,0.078071438271643,0.0572658760526673,-0.2536477987421384,0.7002201257861634,0.0398532494758909,0.3035220125786163,0.2477253668763102,0.4742033542976939,0.519895178197065,0.5463626834381551,0.475880503144654,0.5289727463312368,0.414664570230608,0.7278721174004192,0.4825052410901467,0.2427568134171907,0.255272536687631,-0.1470545073375262,-0.1347589098532494,0.0016876310272536,0.0839832285115304,0.1240041928721174,0.1219916142557652,0.3781721521458362,0.11275753452041122,-0.15651991614255764,-0.011540880503144656
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.3203101319143011,0.3941761921968114,0.1521909572650326,-0.0129463839131566,0.2170249975102727,0.2690689766776515,0.3175050263197244,0.2598492564892086,0.3332987410154787,0.3038499738055905,0.2434452985798882,0.2170583187105906,0.2236370562457153,0.2444495609494256,0.1832228759355201,0.1135470380101527,0.1128513781701082,0.126890617764547,0.0770622833151832,0.0735938543970296,0.0556294626991705,-0.2974708529620759,0.1295540876034073,0.2514233579844023,0.8551903220429682,0.2828732092884525,-0.2334131641971734,-0.0282653893728452,0.1479765946434367,0.0699002552833118,0.1613987069154582,0.4464212086919143,-0.0469949381968752,0.3267450939109228,0.2033932503443254,0.13123843110421,0.2916107411988666,0.4660543376231457,0.564360344237703,0.3260696019861216,0.5076804309112124,0.8115903887148985,0.396008386768778,0.15565907474255805,-0.4835206288215736,0.25009869200200013
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.3210058568007388,0.4479221435911547,0.2150220743350757,0.1791401909637035,0.1731946477997039,0.2366425549483185,0.1904432010858781,0.0889694798771626,0.1830994576514838,0.1117862258083119,0.1288504619190314,0.0739517764294174,0.0532682582919591,0.0930257244490104,0.1138233670530721,0.0790046959913459,0.0985455813548501,0.0849585178443246,0.0880085183153845,0.0725237650664967,0.0484910791207753,-0.10372051368999484,-0.4187947239829234,0.5131422211788438,0.1037205136899948,0.2270826268791681,0.0535861787133404,0.2269695942127275,0.8881759136082635,-0.1015555033866325,0.3640260496822043,-0.1190233977619532,0.5882306909773848,0.4548608393979706,0.2379511524984566,0.1302658006625453,-0.1506551547243307,0.1480727930371877,0.0747406769787237,-0.2662614880315795,0.1390214849014442,0.171183625914043,0.38102251328162734,0.08440219995804665,-0.23009972959108255,0.1023293424107259
