id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/20,funcsim_segment_1/20,funcsim_segment_2/20,funcsim_segment_3/20,funcsim_segment_4/20,funcsim_segment_5/20,funcsim_segment_6/20,funcsim_segment_7/20,funcsim_segment_8/20,funcsim_segment_9/20,funcsim_segment_10/20,funcsim_segment_11/20,funcsim_segment_12/20,funcsim_segment_13/20,funcsim_segment_14/20,funcsim_segment_15/20,funcsim_segment_16/20,funcsim_segment_17/20,funcsim_segment_18/20,funcsim_segment_19/20
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.6163838784118673,0.6776152039071218,0.0746098199886488,0.35966393686588893,0.3712725360737683,0.2965033548895579,0.33769045202465375,0.35746079357760996,0.3269077090926238,0.37492559465095915,0.4337460763114761,0.21123427630283764,0.3172721140208914,0.3221260956621439,0.20542623056682965,0.2351662045728816,0.16327633690740648,0.0023823342803151854,0.010255080019106074,0.005035604060654545,-0.011297466658192175
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.352052967791282,0.4006712113661527,0.25040182453044707,0.3696122379196106,0.2240639768626177,0.37274701818751216,0.4137516630467948,0.35591712331123865,0.4464244631698607,0.3589181708632706,0.32792949047364756,0.3617494413770188,0.40682778130743363,0.3155423709057836,0.34468685012483735,0.3673569893528691,0.35543590464043495,0.32878968035897577,0.3207794740523876,0.2405113832489386,0.17106624455534467
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.5288300551490517,0.29457901015152055,0.5898980896521352,0.626345435099833,0.48398829923229,0.36711367474920237,0.3711217188266202,0.4360651895602327,0.41645944332651413,0.4305209500383859,0.4723085861275441,0.5164176954042583,0.31880358926374386,0.3332514805858545,0.34764140942717264,0.3821344491386135,0.22995964572325753,0.332489845401663,0.22922964362091464,0.050201981471321204,0.15497723261287807
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.5116766560047674,0.2038471948462636,0.4987582285182109,0.43911496793080046,0.26110654922801435,0.21197809849113616,0.3708645677274076,0.4891570542074817,0.6549273308422211,0.538178824103724,0.47509841132812153,0.4186588261615497,0.3865049592859712,0.5372643831101607,0.43881422345903864,0.3361632254748617,0.2811648825498269,0.325098012866708,0.1581133074472475,0.11051095202059542,0.0817660938358719
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.5481649809602478,0.7827060363216419,0.7940017193575176,0.7576804496576289,0.6662549764397903,0.7145063852028938,0.6549220608009866,0.5063398698067566,0.3285371272525789,0.26689099789301013,0.1811818304671625,-0.0049302750863187954,0.21543982009907553,0.277836462306557,0.24069480544487443,0.13691965491360705,-0.07131420276835991,0.08683308014635965,-0.07638798910499868,-0.06437203705652876,-0.055266927182996875
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.5130915111288884,0.7518008050582439,0.3430105832376709,0.27571157496957616,0.31914388887954914,0.39252330239491223,0.2771249685169854,0.26954279789694385,0.20517539454649922,0.23917194355242835,0.2580743271820655,0.19632141905093295,0.18616937802052103,0.2231390518738788,0.16399457591438174,0.14073819780960692,0.1807453527611976,0.24423639069102207,0.23472727273316757,0.1470306958387196,0.19222426521798097
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.607826200181798,0.8851932857092761,0.5032844334391144,0.45013823683161247,0.5096423957371164,0.5115996659585834,0.33566947260221625,0.4468932054041051,0.3998777916007574,0.3582347466696469,0.20312357170698397,0.35892977566887496,0.47352482987171207,0.23597424026088082,0.21724804588475533,0.331641334161791,0.09426008877906829,0.19830581502246977,0.1117255224242849,0.12903921116553346,0.10447828888846315
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.5735447412663277,0.6848039964317953,0.7082649324294731,0.5596378487142917,0.4355919474171614,0.2530633557262998,0.1568332339522488,0.19090086227829386,0.41445781445684426,0.4052190682982312,0.39213743621388936,0.3304342112764868,0.24289045384068603,0.4078195459565237,0.3720539652067654,0.24527982943304216,0.2614452473140504,0.16144790022198782,0.10294665620449239,0.13604372773441512,0.031853472317207504
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.5032543484654092,0.7339554600053086,0.6905002681149174,0.2787416147488677,0.43570895532451004,0.2776297494399026,0.41292920673762246,0.3534935058626434,0.40853878250505604,0.19483271271992408,0.2539945531312514,0.3191759471474344,0.17006599708580272,0.17811289713281556,0.11027694886484925,0.1981686983530895,-0.10730362405870521,0.11973423693931995,-0.007180767732507779,0.07968848527228274,0.03926222743633353
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.5987993066252687,0.7238927343841857,0.6894702185094764,0.5975039846175426,0.5993141773247528,0.5904271465603065,0.6210486370150347,0.4535312138723158,0.4471067412178883,0.5479689346418104,0.30380499063877486,0.28803446411882283,0.49907780709686234,0.3443354428950095,0.208585834739331,0.21637680430175543,0.2111148799818622,0.12655385594491575,0.094070376742906,0.12320246875141615,0.03086565463446378
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.4454806937960538,0.7514342331796173,0.4532478443178459,0.18154677322214643,0.36233247960205744,0.07866433813641167,0.40524551961340066,0.12824923093929985,0.18650791219723797,0.3507680114876097,0.05083936669808014,0.3602058510597385,0.2871371730357979,0.30719404735912526,0.3098106065874268,0.3597851041070293,0.35336904527472174,0.23384228580982816,0.29933628911457005,0.21057179405863227,0.23530403784104295
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.5277077228285536,0.541569198004304,0.5053105065806168,0.5422006317590963,0.6057934004331449,0.5600138184700769,0.617162829644483,0.5547028254086842,0.5549599855774643,0.4923327413513685,0.3649384977949253,0.44907916359827044,0.2790836582190073,0.349050616177801,0.34297204317581725,0.27342727703214276,0.28641711922095364,0.24954744912505417,0.18467805717689584,0.15867829270472525,0.10500276452442363
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.4402944928079674,0.620501226793587,0.19208385013681767,0.2439793797654044,0.41317407744394924,0.46196786867122464,0.5324307914731615,0.46287650208565045,0.5378990947202192,0.40767655067098824,0.35501893855965466,0.2992483053805577,0.25090846590704496,0.31552968506628276,0.2682049628580923,0.17393354420451373,0.18161202189530848,0.2484713426070997,0.1006088393274927,0.06746092235538098,0.047546387013850985
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.647472831656889,0.6605544692794376,0.46825999714685307,0.46328461012259914,0.32509170258596193,0.39027253609865303,0.43568304912226347,0.483327847356389,0.3882099015888502,0.48157065025659185,0.419927236800896,0.4446298407178693,0.3189590263039213,0.24492003766820472,0.4113828809240737,0.3586222174400295,0.2524544646586441,0.2176439551613985,0.29648750302478943,0.2569695432090289,0.09639337084572713
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.6289608157473825,0.7080227449724252,0.525682520818642,0.49580384289938195,0.3463421693348174,0.35985582706758373,0.40847620267762347,0.323235735840598,0.3582207632303456,0.41810702223109836,0.3595591184550901,0.44565993478505134,0.4133762711543007,0.3909747488525074,0.420918777630245,0.2042371697633065,0.2428020926760269,0.25259770279695704,0.1399212659706307,0.16237826542551298,0.0795483289288526
