id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/20,GCaMP_funcrep_segment_1/20,GCaMP_funcrep_segment_2/20,GCaMP_funcrep_segment_3/20,GCaMP_funcrep_segment_4/20,GCaMP_funcrep_segment_5/20,GCaMP_funcrep_segment_6/20,GCaMP_funcrep_segment_7/20,GCaMP_funcrep_segment_8/20,GCaMP_funcrep_segment_9/20,GCaMP_funcrep_segment_10/20,GCaMP_funcrep_segment_11/20,GCaMP_funcrep_segment_12/20,GCaMP_funcrep_segment_13/20,GCaMP_funcrep_segment_14/20,GCaMP_funcrep_segment_15/20,GCaMP_funcrep_segment_16/20,GCaMP_funcrep_segment_17/20,GCaMP_funcrep_segment_18/20,GCaMP_funcrep_segment_19/20,dHbT_funcrep_segment_0/20,dHbT_funcrep_segment_1/20,dHbT_funcrep_segment_2/20,dHbT_funcrep_segment_3/20,dHbT_funcrep_segment_4/20,dHbT_funcrep_segment_5/20,dHbT_funcrep_segment_6/20,dHbT_funcrep_segment_7/20,dHbT_funcrep_segment_8/20,dHbT_funcrep_segment_9/20,dHbT_funcrep_segment_10/20,dHbT_funcrep_segment_11/20,dHbT_funcrep_segment_12/20,dHbT_funcrep_segment_13/20,dHbT_funcrep_segment_14/20,dHbT_funcrep_segment_15/20,dHbT_funcrep_segment_16/20,dHbT_funcrep_segment_17/20,dHbT_funcrep_segment_18/20,dHbT_funcrep_segment_19/20
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.9317096872479103,0.62312953899543,0.6433634393702641,0.6164697177485148,0.6581740965769581,0.6918381748091097,0.6998198876448188,0.7560124222098948,0.7434641130582731,0.7908103865551517,0.6384860954170654,0.508417765598484,0.6134269003854288,0.5545437322543935,0.5315125175304617,0.34154528793443595,0.30829414594022986,0.22273437935662896,0.2898462272077196,0.19440512475402189,0.8709301930714703,0.9117417789703686,0.7397681620884611,0.7701525313752122,0.5647463595079127,0.6035157936779052,0.6005586378351385,0.6864601024385337,0.7217658736335306,0.7638858853356275,0.6248898130366843,0.7935910008567049,0.8356662497994207,0.7692625688250969,0.830269289281222,0.7439446496077244,0.7857721874675936,0.8627144980722831,0.8279678941351503,0.6628591925719426
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.8585486309963117,0.8444826405476337,0.6468568568134229,0.4401139953392063,0.555447237604878,0.5047918836885867,0.4814403894752,0.4862241220010557,0.5461485023744747,0.5847550066804036,0.6245192030021695,0.6064623040683145,0.6802467770540929,0.5242110675135813,0.5386920994963754,0.5133592376606769,0.47911880675965135,0.48981550690250225,0.4734065143125145,0.4377345155179206,0.7139031237017518,0.9136957855253055,0.844018675866009,0.6120002866392623,0.7714511833354494,0.8801424544984904,0.7895931103333504,0.8027821102887953,0.8837957384108526,0.8167562079228433,0.8680521756157873,0.8626174610226839,0.8690105448751706,0.7773093937381012,0.8314688524674296,0.8129965333102669,0.7989328514462586,0.7954451887288103,0.7323671364951452,0.7612867271872731
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.5655563180807731,0.883436208961042,0.8582892407585418,0.8773963290056314,0.8603772583675384,0.7949058930219542,0.8713048883291694,0.8915976235615969,0.866743681515685,0.838638132886588,0.8424637181815807,0.8347292529398853,0.7892096657012495,0.6748390914125821,0.7894446924210533,0.7132283117657949,0.4956635066684665,0.4966864993374902,0.21463110117079998,0.30391393901402725,0.6503700931443083,0.8905114873647546,0.8768405661339407,0.7454451180378467,0.7377082318839444,0.8149117218373653,0.7959651298557098,0.9077738432443287,0.9574829842932732,0.9429906445764691,0.9552946776104754,0.9413142179488572,0.8772788404984242,0.9351360505243234,0.8891210327797566,0.8504719507467996,0.8993463717815531,0.8795667467087529,0.8008265958380782,0.8603417159045501
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.7404104929303261,0.9423812870636431,0.9250110124821999,0.9601194365260871,0.9485598245757912,0.90722664576187,0.8814801796386952,0.861395228695399,0.8423048814365394,0.8551476805316666,0.7181938300802398,0.8479551771883941,0.8300622818831833,0.7933363834933533,0.49805540730912184,0.5530963626986797,0.5681835461508554,0.29066617238619463,0.3513637223400803,0.266800256920585,0.8907534038753728,0.9354306836503772,0.9597049959659005,0.8681617864553652,0.8305659973510839,0.9108255020708671,0.9422917470769645,0.8907068597892696,0.8995249541724897,0.7350315556408544,0.8203312876595077,0.8286694097721978,0.8752232441562464,0.90148323533734,0.8747449112529281,0.7883197432342407,0.7615602917316048,0.7928532206191867,0.7918116782019406,0.7760087227271438
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.9592165769693894,0.9502458264399645,0.9337766869679042,0.8759788031044903,0.7769777511555837,0.7623281494846875,0.8093498065225627,0.9142682069291092,0.8476834653472924,0.8803422987069973,0.8804575733028539,0.8161048173292895,0.638926549576255,0.5511659849182274,0.6441500078874881,0.5882071033064455,0.3879599646718058,0.3747012690592555,0.23976996204588238,0.17871787089048963,0.5853626936232845,0.7010355805656125,0.8670991933034188,0.9403055222263291,0.8898203694954544,0.9046470222343165,0.8726404406197861,0.8355280797064026,0.7752834104047879,0.7073960101938831,0.608027929703092,0.7610221310401608,0.8412566524048136,0.8319892092903265,0.6449383502374059,0.5563409389821673,0.4233036360363292,0.3123471927845508,0.20689514582341728,0.18062738504559842
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.8394906549893725,0.5909110304331954,0.5649572455960088,0.5299565089045388,0.5894508286257617,0.5839454391849862,0.6062325160969659,0.5135832225848177,0.4746361304395712,0.5164408719989246,0.47620164038078316,0.5640675439907008,0.5412173544687758,0.5647695295188927,0.6165172549044527,0.395045157580164,0.4606461255586355,0.4237581895143233,0.4352867014276988,0.3466602289482767,0.773232035159629,0.9202559516432702,0.8728567920567026,0.8361849078076001,0.939416743501533,0.9169394619275273,0.9387590779551057,0.8803703662017922,0.9076144809061233,0.865639438181284,0.9319343339104669,0.727928073775435,0.46969357460046696,0.7572697074718697,0.5232831438868603,0.48825963852161974,0.5905528135626861,0.6034877063032783,0.5200668949954721,0.5283958278564838
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.9624534240318204,0.7702611770154407,0.5358241968145877,0.5775456453414911,0.5893031963778229,0.6209195065679082,0.6074369320328673,0.5484176611934771,0.6252074606278333,0.6712440358753008,0.6984593258516432,0.7204071414407468,0.6299430664372467,0.5417131136689313,0.393435519269707,0.4940652484282464,0.31641238413533096,0.33609768466198414,0.296399584147401,0.1679106012386062,0.6684086039762708,0.806611645674883,0.6631845436160672,0.7542766498201319,0.8412019790009764,0.7856899249435131,0.8250652684968763,0.7089942146072249,0.6596648141511511,0.6610494770463115,0.8498981229906429,0.82891491175803,0.7270395980579035,0.741590142806889,0.6163449922296463,0.4824869811955513,0.44198890081235714,0.4234168192648329,0.27365238556463717,0.4815806816379096
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.9664376788727859,0.7738054884881038,0.4831935129041376,0.3558915277556255,0.46407151657950974,0.48323805728763736,0.6579518048243089,0.4499712405294622,0.3647795427973119,0.4501335853167754,0.43083273280810064,0.597186858688562,0.5920373927742338,0.6029979916190982,0.3252987284880781,0.300816606421689,0.46937832417463365,0.3900329274354941,0.22094961894768742,0.21938875604803934,0.827609614684306,0.9230308401348373,0.9256420756780215,0.8800938689867889,0.7805348605123298,0.6100377649551718,0.45595192015050173,0.7485072835694463,0.6557413006960361,0.7089541860390415,0.8011910065505438,0.5754248567147009,0.7724041580670842,0.8175943744662808,0.6912518472286916,0.4799010783432398,0.6159990158520751,0.48413577681263653,0.43318124976834893,0.48947324885751614
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.9759307574023331,0.9354681346193868,0.7664575996124536,0.46730324882614127,0.6529307317474174,0.7067508893383695,0.7145364543322015,0.7884462069633401,0.6689451902896363,0.6017357131080472,0.763313136777986,0.7355234276669491,0.6730700229877822,0.5740346943088533,0.5157401537822824,0.42109249722504033,0.32981126895748875,0.2662417289462066,0.2760458226479326,0.16700543826834555,0.5960603049383897,0.8179114826772567,0.9425462897594018,0.919419774602704,0.8895121731586763,0.940075973522484,0.9255429618721152,0.9419723342674844,0.9128506941919092,0.92953601114631,0.9457799045260181,0.896738717553225,0.917553323592032,0.8866626337596624,0.9215660622878364,0.7853766300060921,0.7399253068419737,0.7779545609728955,0.8432526846761187,0.8079357483497156
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.9694141512495568,0.9431598882305791,0.8692973336356381,0.7501554142249527,0.7968109828712701,0.7415256725963508,0.6164377644173844,0.7127438416410661,0.7348357458742729,0.760962732390053,0.7039277685749813,0.8330510809218373,0.7568529421649883,0.6828967426536242,0.7070667859085462,0.6745123056361856,0.6099661078232701,0.4956041663129842,0.33869279268775887,0.19867811302172164,0.5357822827690382,0.7836415370318008,0.9186187876854983,0.9395517527689046,0.9610342754117759,0.9640835195888171,0.9657554716062338,0.882613246666869,0.9539058470636739,0.9133308465193833,0.8565466621536783,0.9051129204574637,0.8686998251227672,0.7763382948924592,0.896545993861288,0.8437231247357226,0.8078320056288805,0.8174807410108484,0.882999581102085,0.7419221889052786
