id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/20,GCaMP_modularity_segment_1/20,GCaMP_modularity_segment_2/20,GCaMP_modularity_segment_3/20,GCaMP_modularity_segment_4/20,GCaMP_modularity_segment_5/20,GCaMP_modularity_segment_6/20,GCaMP_modularity_segment_7/20,GCaMP_modularity_segment_8/20,GCaMP_modularity_segment_9/20,GCaMP_modularity_segment_10/20,GCaMP_modularity_segment_11/20,GCaMP_modularity_segment_12/20,GCaMP_modularity_segment_13/20,GCaMP_modularity_segment_14/20,GCaMP_modularity_segment_15/20,GCaMP_modularity_segment_16/20,GCaMP_modularity_segment_17/20,GCaMP_modularity_segment_18/20,GCaMP_modularity_segment_19/20,dHbT_modularity_whole,dHbT_modularity_segment_0/20,dHbT_modularity_segment_1/20,dHbT_modularity_segment_2/20,dHbT_modularity_segment_3/20,dHbT_modularity_segment_4/20,dHbT_modularity_segment_5/20,dHbT_modularity_segment_6/20,dHbT_modularity_segment_7/20,dHbT_modularity_segment_8/20,dHbT_modularity_segment_9/20,dHbT_modularity_segment_10/20,dHbT_modularity_segment_11/20,dHbT_modularity_segment_12/20,dHbT_modularity_segment_13/20,dHbT_modularity_segment_14/20,dHbT_modularity_segment_15/20,dHbT_modularity_segment_16/20,dHbT_modularity_segment_17/20,dHbT_modularity_segment_18/20,dHbT_modularity_segment_19/20
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.049777917868356746,0.019022696306201226,0.07691820826442172,0.12180344374007299,0.16599258030863479,0.09224376031946013,0.04517606834185308,0.055887288082152674,0.04623081582007341,0.05752221857564999,0.04929566292700348,0.04561968705497012,0.07549712762790323,0.10314977309611498,0.09141542655136402,0.10773602206008448,0.18546757818628165,0.15425123361977494,0.2166593242657966,0.31942473793177734,0.5706076597263365,0.06645772023483759,0.032899207462271776,0.10588663824779808,0.11286262430593354,0.0869442854979669,0.06894058055895733,0.06192820335676693,0.04833884338700998,0.05693345528535449,0.0672569736990148,0.050993836868838065,0.04949849611569896,0.05128424887427193,0.07632066589336325,0.05312413939251321,0.06618785897374946,0.08951335662462669,0.08578874699823417,0.07010465550172275,0.04702844832730405,0.07093369199061629
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.04264242211814069,0.02824768171861405,0.053558096265717905,0.07250102246966379,0.04593579500133019,0.059496713828078016,0.049100027627692215,0.03454353273353885,0.039846207755176145,0.05931436657678284,0.09104090067378597,0.05015453914268423,0.06080338182522491,0.05783656676296268,0.06359158620639449,0.12608575966195498,0.15297795000031875,0.16208743316004984,0.23805395232226448,0.42295299949612564,0.43181329605357255,0.1937143510160505,0.16042402093748687,0.4978358268106234,0.17002109480345934,0.13423700555109108,0.22213481066768612,0.1829700173694181,0.11716127626836931,0.12695629039831435,0.1771801244663777,0.15204842607757582,0.17491713684133614,0.12074860444104234,0.134548551093226,0.09489434941214521,0.09938867600307559,0.17522438054637612,0.14435111431124897,0.11688082805092434,0.11819891176814147,0.08662866241821418
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.024741592041072086,0.015163476450079887,0.023150483519929405,0.013051517114855242,0.027080802310443776,0.025264556398293975,0.03505729308763611,0.0323349091686006,0.028867176785659223,0.04798684762958735,0.07066071058253473,0.07107151075076894,0.0867612843414031,0.09595333300411656,0.08653946572169889,0.11917632404477889,0.11144190504876277,0.19470346751616052,0.2794154267310426,0.22506289251596254,0.486468592769724,0.06014585939625685,0.21103870234123975,0.05635871347231623,0.05756163527224599,0.11577927430095834,0.0651904623250237,0.05704284008843288,0.07875714554601347,0.07458297986415469,0.05248272246110616,0.06437302411711851,0.0519819082454862,0.0583313150716008,0.03863666591101804,0.04176343490767175,0.05438064993992777,0.06144272788692388,0.04841516206887712,0.04762834023588998,0.027397813012893967,0.032302397291390124
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.0551803912495526,0.05259584626628728,0.0350495586257706,0.04055473737753259,0.06202686641225815,0.04342202672608274,0.05395710689834736,0.07427858458386613,0.06948554464997429,0.08730343324450543,0.07137266419430173,0.11225359651784975,0.08890536963226335,0.10351488312235188,0.15404859094129686,0.1437136068067887,0.1786984137305062,0.31514453388269514,0.4230028717530143,0.4728612467148993,0.5617485040206981,0.22048255800529978,0.295539397136722,0.29784836658412883,0.24527443384207195,0.28328495936927495,0.17098711288966778,0.19636403008804454,0.31277156585478855,0.14677848593999002,0.1518712062546806,0.13413037356184546,0.21761263566818648,0.14120143693419396,0.14001474153895668,0.2346527016035142,0.1955115033688268,0.16912744968539992,0.19822418508160206,0.19815424668986703,0.1606750713403503,0.15926824760784145
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.012736007345948964,0.010931131640766853,0.01604453851692108,0.014863947294437851,0.017210620086890834,0.007511063638662604,0.01280937460490891,0.01785020791906053,0.018026758493801257,0.024791029176788985,0.02492688238941433,0.03769478095732699,0.03905395217984921,0.047222561383713904,0.04880441927447504,0.05472485223034269,0.09480525823021205,0.08050985383342163,0.09168330489811029,0.13615108239605161,0.3258034145158188,0.015447864131993564,0.02170661490963269,0.012694725978296285,0.014488272632579883,0.019366149929513816,0.008152773758098442,0.00675515255845766,0.007808763677925029,0.012020562372044364,0.00930407264927267,0.011618170615084716,0.00872558449617672,0.01696374136809989,0.013286829545831451,0.012718396161703107,0.018161477284682294,0.02111597254016732,0.01814246112539392,0.015211184436436626,0.009540961943508472,0.027788112502225792
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.05973577280625984,0.021691837291600822,0.08537452329024373,0.07542685573856711,0.09960330282460939,0.07923287202536247,0.12389438703636836,0.132506026166473,0.17786994406051848,0.11681786418677276,0.12160630970914127,0.12846178595010224,0.208900147856145,0.1492858315549116,0.21250679955911178,0.16546227569801672,0.24710085613379235,0.1951595543284343,0.30763891911363234,0.3926933903896497,0.527839751778294,0.07902703608056832,0.04902186385681789,0.05065170162763129,0.042921198680870964,0.09574046297300579,0.06288451736405538,0.08960731597196882,0.07601203776659658,0.043531781738251424,0.08440469404422686,0.06946011392783988,0.08685472351412044,0.09321777933453385,0.09693970179208804,0.08091468367968002,0.09358915629226512,0.08817375868378348,0.11651558220122057,0.08186361271386755,0.11744049688395317,0.20050778434284555
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.02503075896800548,0.00949706289048242,0.0708314721444318,0.039987767842020086,0.05723921284095099,0.05599381431889034,0.044073474418397394,0.06590159970008065,0.06040376455247507,0.07036666751420342,0.08146956695910192,0.08729436533033787,0.09730692547617574,0.14251071964099887,0.17122499277785977,0.1731939653630724,0.1902661384454113,0.25257227875323335,0.29171600485359445,0.3694061375727413,0.6723971706896283,0.045519404591895414,0.03887189682522492,0.050689020099344714,0.044350184755282955,0.04113948354692645,0.03478189522251093,0.028076600186555018,0.057222478525665144,0.03223392993968275,0.03895100677858904,0.03601809000650172,0.039161700432709716,0.05891040133848674,0.03719538658133574,0.04121716792996357,0.07036658111207822,0.056959226197765646,0.059157814866965655,0.03881042114528573,0.045995311456169044,0.06579678273863594
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.01886461133433015,0.004641306366536218,0.014134962564121972,0.03957488265548147,0.059111008420379633,0.04220122670006477,0.04586968831045729,0.05732549423133541,0.07782839977550082,0.07943068128340611,0.09814192863688509,0.1049925231910918,0.10767183579754869,0.16841275080627696,0.14984190877874784,0.13068130351576288,0.19305827188900176,0.2366240337286104,0.21915374327382353,0.2446907215518918,0.4178961812560767,0.024807392331684334,0.014948943813371527,0.034158876124059594,0.02457323378604624,0.045794957658917196,0.04761156462057304,0.037556855569451965,0.03173016572105358,0.031849572011599804,0.02865223968854465,0.040640084035812166,0.03694653346974059,0.029052842933904043,0.03535956831735653,0.0351571655576097,0.030681254182867816,0.02888187908354222,0.02013921541177101,0.01137274455028692,0.01169814510447936,0.008287780477529028
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.024233732457448077,0.005192466536261566,0.014145296608230057,0.05585509322930835,0.0824702506148611,0.08977611890380534,0.07527028829474662,0.05827007541852836,0.04757885064232007,0.03895305731833286,0.06328457007962322,0.03645132809613617,0.045058140994191115,0.08135254390310517,0.11612807151261292,0.10655970000502941,0.15998320562119991,0.19983606187961164,0.26957100733138917,0.2743806631915992,0.4837460816586005,0.035125708035331216,0.0177506590454466,0.0536713787919115,0.031967018562669966,0.03636257622505073,0.03834009366917067,0.03923625788908865,0.03986973282430538,0.04488056659137458,0.05701190203665725,0.040507712810981526,0.043935273114313056,0.0376811492180135,0.02990718807485475,0.014597769070882664,0.021276140918156085,0.023145019970827106,0.033202739189111055,0.0322327855428766,0.022676695023135556,0.03561052204494353
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.028019173308651276,0.011791263621289932,0.02001598877460964,0.0350963067423956,0.042160216153540486,0.05674365120311853,0.04169728074477488,0.07105046071722122,0.06518444027616832,0.10513761752484378,0.060775915943021556,0.07244667561818456,0.05476214228033086,0.07117668890800245,0.12542481108854905,0.10241303037095938,0.1188564856764399,0.16700548981237567,0.20580684654377704,0.24958569664393573,0.3308026207593087,0.03362507349128347,0.03710035393633067,0.05475179643279687,0.04211459028698431,0.03307418228555109,0.030191075013781127,0.02523572946883136,0.025154910380893302,0.04615594643236899,0.0370245085436425,0.03888052076453197,0.016986988791374114,0.01881654721689797,0.017522261846353034,0.02571079644703328,0.016131200349815775,0.028121374662890407,0.01887404945589092,0.018598139659837296,0.023297281735444136,0.01617029146936856
