id,number,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_noise_v1,39,0.017154705868744513,0.014952632630008539,0.02042523103536787
M42-12_noise_v1,42,0.013389446340666585,0.013273989738678696,0.013617300697665433
M44-12_noise_v1,44,0.02351854171299295,0.023305372700179967,0.02371288650771499
M45-12_noise_v1,45,0.04107885511411426,0.036916833858557575,0.04339891313781414
M46-12_noise_v1,46,0.01702728274901585,0.016355379694233108,0.01775846434155667
M251-6_noise_v1,251,0.01614313448608228,0.014656523792641103,0.01852855007042893
M254-6_noise_v1,254,0.024881085788468524,0.023096666042340466,0.02820107015403447
