id,number,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
no_filter,396.0,0.996887825084024,0.5391071208238163,0.9840556805660629,0.962651515166125
HbT<0.4_GCaMP>0.08,,0.9985149043486988,0.6322247985723447,0.9408683899144222,0.9274872115767044
0.08<HbT<0.4_GCaMP>0.08,,0.9985220470476168,0.6279054002432367,0.994460932329347,0.739170949265029
0.009<HbT<0.08_GCaMP>0.08,,0.9985220470476169,0.6279054002432367,0.9899769701245567,0.972512144546744
