id,number,GCaMP,age,cohort,monitoring_frame_range,sex
M39-12_v1_no_mvmt,39,False,12,,"(88, 4695)",F
M42-12_v1_no_mvmt,42,False,12,,"(113, 4794)",F
M44-12_v1_no_mvmt,44,False,12,,"(93, 4987)",M
M45-12_v1_no_mvmt,45,False,12,,"(81, 4877)",M
M46-12_v1_no_mvmt,46,False,12,,"(116, 4835)",M
M251-6_v1_no_mvmt,251,WT,6,,"(52, 4966)",F
M254-6_v1_no_mvmt,254,False,6,,"(51, 4955)",M
