id,number,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
no_filter,396.0,0.0439961945920598,0.0396831723665568,0.0880353086962354,0.1029502830214991,0.1224458202823466,0.0823867626256888
HbT<0.4_GCaMP>0.08,,0.0724234775649745,0.0666426531436184,0.1204533184117912,0.1027445571467956,0.1420866064595648,0.0663893690075808
0.08<HbT<0.4_GCaMP>0.08,,0.0724342652546685,0.0666359562462119,0.1192119322830916,0.1510047329672307,0.1715381523997765,0.071086514392293
0.009<HbT<0.08_GCaMP>0.08,,0.07243426525466855,0.06663595624621194,0.1192119322830916,0.21397356907754722,0.21709202443649386,0.21001023015834078
