id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/20,funcsim_segment_1/20,funcsim_segment_2/20,funcsim_segment_3/20,funcsim_segment_4/20,funcsim_segment_5/20,funcsim_segment_6/20,funcsim_segment_7/20,funcsim_segment_8/20,funcsim_segment_9/20,funcsim_segment_10/20,funcsim_segment_11/20,funcsim_segment_12/20,funcsim_segment_13/20,funcsim_segment_14/20,funcsim_segment_15/20,funcsim_segment_16/20,funcsim_segment_17/20,funcsim_segment_18/20,funcsim_segment_19/20,funcsim_segment_0/2,funcsim_segment_1/2
M308-8_v1,308,False,8,2,"(88, 7378)",F,0.6163838784118673,0.6776152039071218,0.0746098199886488,0.3596639368658889,0.3712725360737683,0.2965033548895579,0.3376904520246537,0.3574607935776099,0.3269077090926238,0.3749255946509591,0.4337460763114761,0.2112342763028376,0.3172721140208914,0.3221260956621439,0.2054262305668296,0.2351662045728816,0.1632763369074064,0.0023823342803151,0.010255080019106,0.0050356040606545,-0.0112974666581921,0.6522610908527718,0.21855980868564506
M308-10_v1,308,False,10,2,"(111, 7328)",F,0.352052967791282,0.4006712113661527,0.250401824530447,0.3696122379196106,0.2240639768626177,0.3727470181875121,0.4137516630467948,0.3559171233112386,0.4464244631698607,0.3589181708632706,0.3279294904736475,0.3617494413770188,0.4068277813074336,0.3155423709057836,0.3446868501248373,0.3673569893528691,0.3554359046404349,0.3287896803589757,0.3207794740523876,0.2405113832489386,0.1710662445553446,0.3459303308270306,0.4115448415617122
M308-12_v1,308,False,12,2,"(135, 7630)",F,0.5288300551490517,0.2945790101515205,0.5898980896521352,0.626345435099833,0.48398829923229,0.3671136747492023,0.3711217188266202,0.4360651895602327,0.4164594433265141,0.4305209500383859,0.4723085861275441,0.5164176954042583,0.3188035892637438,0.3332514805858545,0.3476414094271726,0.3821344491386135,0.2299596457232575,0.332489845401663,0.2292296436209146,0.0502019814713212,0.154977232612878,0.5964005502340792,0.35777363572702253
M308-14_v1,308,False,14,2,"(107, 7269)",F,0.5116766560047674,0.2038471948462636,0.4987582285182109,0.4391149679308004,0.2611065492280143,0.2119780984911361,0.3708645677274076,0.4891570542074817,0.6549273308422211,0.538178824103724,0.4750984113281215,0.4186588261615497,0.3865049592859712,0.5372643831101607,0.4388142234590386,0.3361632254748617,0.2811648825498269,0.325098012866708,0.1581133074472475,0.1105109520205954,0.0817660938358719,0.4523283501647773,0.48081278280098577
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.5481649809602478,0.7827060363216419,0.7940017193575176,0.7576804496576289,0.6662549764397903,0.7145063852028938,0.6549220608009866,0.5063398698067566,0.3285371272525789,0.2668909978930101,0.1811818304671625,-0.0049302750863187,0.2154398200990755,0.277836462306557,0.2406948054448744,0.136919654913607,-0.0713142027683599,0.0868330801463596,-0.0763879891049986,-0.0643720370565287,-0.0552669271829968,0.7621018057237802,-0.004803056660362187
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.5130915111288884,0.7518008050582439,0.3430105832376709,0.2757115749695761,0.3191438888795491,0.3925233023949122,0.2771249685169854,0.2695427978969438,0.2051753945464992,0.2391719435524283,0.2580743271820655,0.1963214190509329,0.186169378020521,0.2231390518738788,0.1639945759143817,0.1407381978096069,0.1807453527611976,0.244236390691022,0.2347272727331675,0.1470306958387196,0.1922242652179809,0.6209982061172123,0.24494437604245134
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.607826200181798,0.8851932857092761,0.5032844334391144,0.4501382368316124,0.5096423957371164,0.5115996659585834,0.3356694726022162,0.4468932054041051,0.3998777916007574,0.3582347466696469,0.2031235717069839,0.3589297756688749,0.473524829871712,0.2359742402608808,0.2172480458847553,0.331641334161791,0.0942600887790682,0.1983058150224697,0.1117255224242849,0.1290392111655334,0.1044782888884631,0.748124138695248,0.23810661309597964
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.5735447412663277,0.6848039964317953,0.7082649324294731,0.5596378487142917,0.4355919474171614,0.2530633557262998,0.1568332339522488,0.1909008622782938,0.4144578144568442,0.4052190682982312,0.3921374362138893,0.3304342112764868,0.242890453840686,0.4078195459565237,0.3720539652067654,0.2452798294330421,0.2614452473140504,0.1614479002219878,0.1029466562044923,0.1360437277344151,0.0318534723172075,0.6782671493735991,0.27556755050107135
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.5032543484654092,0.7339554600053086,0.6905002681149174,0.2787416147488677,0.43570895532451,0.2776297494399026,0.4129292067376224,0.3534935058626434,0.408538782505056,0.194832712719924,0.2539945531312514,0.3191759471474344,0.1700659970858027,0.1781128971328155,0.1102769488648492,0.1981686983530895,-0.1073036240587052,0.1197342369393199,-0.0071807677325077,0.0796884852722827,0.0392622274363335,0.6571753471058794,0.102680799277862
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.5987993066252687,0.7238927343841857,0.6894702185094764,0.5975039846175426,0.5993141773247528,0.5904271465603065,0.6210486370150347,0.4535312138723158,0.4471067412178883,0.5479689346418104,0.3038049906387748,0.2880344641188228,0.4990778070968623,0.3443354428950095,0.208585834739331,0.2163768043017554,0.2111148799818622,0.1265538559449157,0.094070376742906,0.1232024687514161,0.0308656546344637,0.7356245973054418,0.2755737613990934
