id,number,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_noise_v1,39,0.9646887278014057,0.859236701562757,0.9252700644557486,0.9349258346011015
M42-12_noise_v1,42,0.9725020124153956,0.9047912605641814,0.9600615066093758,0.94475214943115
M44-12_noise_v1,44,0.9777534067982794,0.9331026844960134,0.9399376585597228,0.9621474636738767
M45-12_noise_v1,45,0.9643922679935563,0.9195091860579012,0.9942087569004375,0.9920392750628453
M46-12_noise_v1,46,0.9739257963899643,0.9202119990770289,0.9724671753604661,0.9826450788241357
M251-6_noise_v1,251,0.9732598289253943,0.8967854578503375,0.9827512253570966,0.9876313620031141
M254-6_noise_v1,254,0.9743312970350143,0.9007057304870357,0.9901607934410959,0.993559703410285
