id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/20,GCaMP_funcrep_segment_1/20,GCaMP_funcrep_segment_2/20,GCaMP_funcrep_segment_3/20,GCaMP_funcrep_segment_4/20,GCaMP_funcrep_segment_5/20,GCaMP_funcrep_segment_6/20,GCaMP_funcrep_segment_7/20,GCaMP_funcrep_segment_8/20,GCaMP_funcrep_segment_9/20,GCaMP_funcrep_segment_10/20,GCaMP_funcrep_segment_11/20,GCaMP_funcrep_segment_12/20,GCaMP_funcrep_segment_13/20,GCaMP_funcrep_segment_14/20,GCaMP_funcrep_segment_15/20,GCaMP_funcrep_segment_16/20,GCaMP_funcrep_segment_17/20,GCaMP_funcrep_segment_18/20,GCaMP_funcrep_segment_19/20,dHbT_funcrep_segment_0/20,dHbT_funcrep_segment_1/20,dHbT_funcrep_segment_2/20,dHbT_funcrep_segment_3/20,dHbT_funcrep_segment_4/20,dHbT_funcrep_segment_5/20,dHbT_funcrep_segment_6/20,dHbT_funcrep_segment_7/20,dHbT_funcrep_segment_8/20,dHbT_funcrep_segment_9/20,dHbT_funcrep_segment_10/20,dHbT_funcrep_segment_11/20,dHbT_funcrep_segment_12/20,dHbT_funcrep_segment_13/20,dHbT_funcrep_segment_14/20,dHbT_funcrep_segment_15/20,dHbT_funcrep_segment_16/20,dHbT_funcrep_segment_17/20,dHbT_funcrep_segment_18/20,dHbT_funcrep_segment_19/20,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M316-8_v1,316,True,8,3,"(83, 7579)",F,0.9592165769693894,0.9502458264399644,0.9337766869679042,0.8759788031044903,0.7769777511555837,0.7623281494846875,0.8093498065225627,0.9142682069291092,0.8476834653472924,0.8803422987069973,0.8804575733028539,0.8161048173292895,0.638926549576255,0.5511659849182274,0.6441500078874881,0.5882071033064455,0.3879599646718058,0.3747012690592555,0.2397699620458823,0.1787178708904896,0.5853626936232845,0.7010355805656125,0.8670991933034188,0.9403055222263292,0.8898203694954544,0.9046470222343164,0.8726404406197861,0.8355280797064026,0.7752834104047879,0.7073960101938831,0.608027929703092,0.7610221310401608,0.8412566524048136,0.8319892092903265,0.6449383502374059,0.5563409389821673,0.4233036360363292,0.3123471927845508,0.2068951458234172,0.1806273850455984,0.9981079441091795,0.723801275965637,0.9024665127815358,0.5673582349971935
M316-10_v1,316,True,10,3,"(104, 7207)",F,0.8394906549893725,0.5909110304331954,0.5649572455960088,0.5299565089045388,0.5894508286257617,0.5839454391849862,0.6062325160969659,0.5135832225848177,0.4746361304395712,0.5164408719989246,0.4762016403807831,0.5640675439907008,0.5412173544687758,0.5647695295188927,0.6165172549044527,0.395045157580164,0.4606461255586355,0.4237581895143233,0.4352867014276988,0.3466602289482767,0.773232035159629,0.9202559516432702,0.8728567920567026,0.8361849078076001,0.939416743501533,0.9169394619275272,0.9387590779551056,0.8803703662017922,0.9076144809061232,0.865639438181284,0.9319343339104668,0.727928073775435,0.4696935746004669,0.7572697074718697,0.5232831438868603,0.4882596385216197,0.5905528135626861,0.6034877063032783,0.5200668949954721,0.5283958278564838,0.9906552512781939,0.5779580225230838,0.9554488536251774,0.6875269755982841
M316-12_v1,316,True,12,3,"(94, 7392)",F,0.9624534240318204,0.7702611770154407,0.5358241968145877,0.5775456453414911,0.5893031963778229,0.6209195065679082,0.6074369320328673,0.5484176611934771,0.6252074606278333,0.6712440358753008,0.6984593258516432,0.7204071414407468,0.6299430664372467,0.5417131136689313,0.393435519269707,0.4940652484282464,0.3164123841353309,0.3360976846619841,0.296399584147401,0.1679106012386062,0.6684086039762708,0.806611645674883,0.6631845436160672,0.7542766498201319,0.8412019790009764,0.7856899249435131,0.8250652684968763,0.7089942146072249,0.6596648141511511,0.6610494770463115,0.8498981229906429,0.82891491175803,0.7270395980579035,0.741590142806889,0.6163449922296463,0.4824869811955513,0.4419889008123571,0.4234168192648329,0.2736523855646371,0.4815806816379096,0.9975270017087862,0.5952140122426856,0.9553768879159475,0.661887701180877
M322-6_v1,322,True,6,3,"(140, 7572)",M,0.966437678872786,0.7738054884881038,0.4831935129041376,0.3558915277556255,0.4640715165795097,0.4832380572876373,0.6579518048243089,0.4499712405294622,0.3647795427973119,0.4501335853167754,0.4308327328081006,0.597186858688562,0.5920373927742338,0.6029979916190982,0.3252987284880781,0.300816606421689,0.4693783241746336,0.3900329274354941,0.2209496189476874,0.2193887560480393,0.827609614684306,0.9230308401348372,0.9256420756780216,0.8800938689867889,0.7805348605123298,0.6100377649551718,0.4559519201505017,0.7485072835694463,0.6557413006960361,0.7089541860390415,0.8011910065505438,0.5754248567147009,0.7724041580670842,0.8175943744662808,0.6912518472286916,0.4799010783432398,0.6159990158520751,0.4841357768126365,0.4331812497683489,0.4894732488575161,0.9978846301982872,0.5256053443709331,0.9630460609720383,0.6954101622341502
M322-8_v1,322,True,8,3,"(83, 7594)",M,0.9759307574023331,0.9354681346193868,0.7664575996124536,0.4673032488261412,0.6529307317474174,0.7067508893383695,0.7145364543322015,0.7884462069633401,0.6689451902896363,0.6017357131080472,0.763313136777986,0.7355234276669491,0.6730700229877822,0.5740346943088533,0.5157401537822824,0.4210924972250403,0.3298112689574887,0.2662417289462066,0.2760458226479326,0.1670054382683455,0.5960603049383897,0.8179114826772567,0.9425462897594018,0.919419774602704,0.8895121731586763,0.940075973522484,0.9255429618721152,0.9419723342674844,0.9128506941919092,0.92953601114631,0.945779904526018,0.896738717553225,0.917553323592032,0.8866626337596624,0.9215660622878364,0.7853766300060921,0.7399253068419737,0.7779545609728955,0.8432526846761187,0.8079357483497156,0.9984934438818078,0.6434075171533191,0.9392419811433343,0.8797372496899356
M322-10_v1,322,True,10,3,"(45, 7308)",M,0.9694141512495568,0.9431598882305792,0.8692973336356381,0.7501554142249527,0.7968109828712701,0.7415256725963508,0.6164377644173844,0.7127438416410661,0.7348357458742729,0.760962732390053,0.7039277685749813,0.8330510809218373,0.7568529421649883,0.6828967426536242,0.7070667859085462,0.6745123056361856,0.6099661078232701,0.4956041663129842,0.3386927926877588,0.1986781130217216,0.5357822827690382,0.7836415370318008,0.9186187876854984,0.9395517527689046,0.961034275411776,0.9640835195888172,0.9657554716062338,0.882613246666869,0.953905847063674,0.9133308465193832,0.8565466621536783,0.9051129204574636,0.8686998251227672,0.7763382948924592,0.896545993861288,0.8437231247357226,0.8078320056288805,0.8174807410108484,0.882999581102085,0.7419221889052786,0.998214178999979,0.763475996746956,0.8916893821356829,0.8570631168463476
M322-12_v1,322,True,12,3,"(182, 7577)",M,0.9393632987813084,0.9076020922886008,0.8172439062272111,0.7572995472274769,0.7764265682595434,0.7666123856801484,0.7597536058314136,0.601152868553027,0.4910195712591373,0.5633097883762269,0.6654860151489755,0.624927969620973,0.639756118136637,0.6641087341160584,0.6395175949762769,0.5520107911135601,0.5289636792402485,0.5416602107270246,0.3822266418830332,0.3666808223928976,0.6588475879368879,0.9063802895111822,0.7987943220298316,0.8815535175826588,0.5742178978372596,0.9230946293101528,0.6955123329958974,0.6217008925767187,0.6911317487643789,0.5239872282716483,0.841282360638775,0.6673494822519431,0.8144027965897167,0.9207026601214656,0.8251649917751236,0.85950378476131,0.8095075442844702,0.8238646173167439,0.8073666341168065,0.717491092189885,0.9952330329630797,0.66584252324524,0.9723109578376046,0.9051266483666548
M353-6_v1,353,True,6,5,"(97, 7497)",M,0.9272945022819056,0.8495896795156734,0.2261594494736522,0.570889864432342,0.603806463583792,0.6505571831939424,0.5347061219565588,0.5624940677921111,0.5806127171303652,0.6507045519951471,0.7269452581261598,0.4759338087385165,0.4670146374046162,0.6257153158600527,0.3672959879931181,0.3679570813326852,0.3339558251058712,0.4331706583482606,0.2557589263582465,0.1783865560271574,0.7293228871868559,0.8978663174209789,0.8578240806612751,0.930208548897847,0.7761104222167658,0.8278186378501784,0.7639542760419591,0.8286087314047028,0.7189037933747422,0.6385865559683621,0.7717829130427374,0.6704762999331475,0.6794096983038972,0.7764441818610319,0.7203865216716603,0.5516773147229086,0.5393270718980018,0.6672766425579734,0.5263183145700187,0.5402813940321803,0.9964678183614861,0.5576924821623004,0.9570879374286757,0.6724530592224883
M353-8_v1,353,True,8,5,"(109, 7400)",M,0.95077859284854,0.6973906519724439,0.7454505883705097,0.665655336477094,0.6801904525845829,0.6520008329596144,0.7159119575120453,0.6994078768976071,0.710658257757069,0.6845668369627782,0.6793354311938796,0.7459965559907882,0.7045349315866682,0.6627995558327016,0.6786006677788131,0.5087102585782559,0.5094893632124237,0.3634595498851924,0.2645496426688432,0.2081013769421263,0.6288446892850135,0.8374915866363833,0.8181653012423271,0.9451489783485072,0.9592748347571326,0.954676124948342,0.9357640103904188,0.9512316668111054,0.9580629786293546,0.9603760460028338,0.935116601569624,0.9321436457277824,0.960438301854002,0.9559581957355068,0.9387430553720398,0.92532842458195,0.9512258784013342,0.9518254906613274,0.9126178829810382,0.8906118116136679,0.9970295515188624,0.6917283513300224,0.9776750144709472,0.9499985853034427
M353-10_v1,353,True,10,5,"(113, 7428)",M,0.9649292472374872,0.819729175151095,0.5336634280358564,0.4298744678979854,0.459086487159401,0.601163497893879,0.6912894021871919,0.7691983961440652,0.4720416034911748,0.6036375409213471,0.5587732788420363,0.3202579675064179,0.3306615739205037,0.5514195144195677,0.3106554695457714,0.3220013332828996,0.1917731423087643,0.242535345837007,0.2081742044877175,0.1732550263774009,0.797852371379494,0.8751057238550771,0.8669832775601397,0.8726563010769143,0.7968266729150468,0.8274774330573811,0.8315047496710469,0.7711538498033593,0.7575590059178636,0.7408806388580057,0.8384225089613755,0.781224576916209,0.7925862577808033,0.8140241461629412,0.7853382952645686,0.8371043310546156,0.6582291868497998,0.7865899518616873,0.7812757091104363,0.6683654309946583,0.9983460090369087,0.40571655702469483,0.9632798165920616,0.7947670268975682
M361-6_v1,361,True,6,5,"(108, 7428)",F,0.959431947681324,0.8281240280403909,0.5650052204276392,0.5527770192575922,0.6023331299908657,0.638643914144647,0.5006015946860775,0.6278015834672236,0.6039240277805507,0.4655994597981641,0.4376815167906193,0.3979867881250448,0.4319595406712709,0.38564200254174,0.2568368368442011,0.4122411709018872,0.1970006565529417,0.2081608603755638,0.2333221587929176,0.1112726966600875,0.7953603088485465,0.9193804666626286,0.9042556571139088,0.8412917185826158,0.8948612961733395,0.8982091241619243,0.911449830885916,0.8215356910953197,0.913379460304618,0.8778036170822824,0.9345691280255302,0.946537520322888,0.9354303344806796,0.8819284056677693,0.9101348682869878,0.8970308846397013,0.8303143321183295,0.707066104947714,0.6527408113863462,0.5473026795705703,0.9980548862607803,0.40793988888196764,0.9761852062672015,0.9022440643793872
M365-6_v1,365,True,6,6,"(87, 7428)",F,0.9194005091047636,0.9547932058648728,0.9306823600614466,0.6311959859722952,0.5497767714388834,0.6538933837029361,0.7926029156184398,0.7357422866524274,0.8212522367625156,0.8277891824706618,0.87439204561452,0.763656879351964,0.7519669733689238,0.7945058198847903,0.6546617823797561,0.6209217901334825,0.6384126985688965,0.4840923072379844,0.3391562105092875,0.2888984549533184,0.7583082299816382,0.8728365166298662,0.9148352078979294,0.8606472273469834,0.902531555741512,0.9098597369536902,0.9320949938095746,0.9206778157353104,0.9087665771348457,0.92750449731262,0.7540897565310077,0.748669149654741,0.8861199131341438,0.836169597865554,0.9197697781038342,0.8798628085014116,0.7042974398456318,0.8944295699288544,0.8152478815667271,0.7351721357348611,0.994271452433507,0.7754534499569056,0.9739279773431231,0.89962190653691
M367-6_v1,367,True,6,6,"(162, 7529)",F,0.9669816615500072,0.956471804169265,0.8790205517270304,0.6620462235345318,0.9217043168887232,0.8872652920793245,0.8967359518278785,0.7802571741802975,0.8531687140419826,0.8252602076427826,0.6866201764935014,0.7886506206335546,0.7083260609044602,0.4842172758290605,0.4239957770723103,0.2877147863398573,0.4342169399330065,0.4960598107959151,0.3706233444811619,0.2985171838906568,0.8343927484060149,0.8996867414526426,0.9510999330571872,0.932777521732572,0.9650608154694844,0.9445679896434296,0.9466965898323744,0.9588006940583612,0.9693013095418668,0.9105080085661152,0.9259785043961584,0.9174908290269388,0.9400603945232568,0.8588147167876121,0.9037800049869538,0.8066799793804719,0.903537660695869,0.7965032853322355,0.8061863227082114,0.7669651342734611,0.9946840429138858,0.6154165808141092,0.9890718392585225,0.951345974225048
M374-6_v1,374,True,6,6,"(72, 7417)",M,0.9563341956920252,0.961632053984424,0.8866077613525701,0.810318477704061,0.8209548980184659,0.7589678290250755,0.7906212382009667,0.7817914080468847,0.7883334970932825,0.7695252844012624,0.7532561025924228,0.7069190062753743,0.6424239921058638,0.6903596108666715,0.6030975566273206,0.6336529209544165,0.6756964863999823,0.4986942968706244,0.4142998975687778,0.2937769528556656,0.7985385120547343,0.8798824655270118,0.9400736136046236,0.8916570220681763,0.92143152577486,0.8784280069339341,0.9328283123406896,0.897154863796036,0.9165011879748876,0.9473183986115656,0.9000061335780383,0.8494542753283396,0.9008126717886566,0.8853213972332961,0.877550343097854,0.8910230515464556,0.8662734751618204,0.9099683389296904,0.8223513274686197,0.7832704646931204,0.9972730885352054,0.7071683581619571,0.9827275106611426,0.9191654884592786
